game_id,home_club_id,away_club_id,home_club_total_shots,away_club_total_shots,home_club_shots_off_target,away_club_shots_off_target,home_club_shots_saved,away_club_shots_saved,home_club_corners,away_club_corners,home_club_free_kicks,away_club_free_kicks,home_club_fouls,away_club_fouls,home_club_offsides,away_club_offsides
3912573,1075,3948,10.0,18.0,2.0,7.0,2.0,6.0,2.0,3.0,19.0,15.0,15.0,21.0,3.0,1.0
3912572,1075,89,12.0,12.0,4.0,5.0,5.0,3.0,4.0,3.0,13.0,11.0,11.0,16.0,2.0,5.0
3886706,3302,366,23.0,8.0,10.0,2.0,2.0,7.0,2.0,4.0,16.0,10.0,11.0,16.0,0.0,7.0
3886673,1531,13,15.0,13.0,10.0,4.0,4.0,3.0,3.0,5.0,2.0,14.0,16.0,3.0,0.0,3.0
3462363,159,533,6.0,17.0,3.0,3.0,6.0,1.0,3.0,8.0,15.0,19.0,21.0,16.0,5.0,0.0
3462336,413,1096,12.0,8.0,5.0,5.0,1.0,3.0,4.0,3.0,13.0,13.0,14.0,14.0,3.0,2.0
3462278,697,157,10.0,14.0,5.0,7.0,4.0,1.0,6.0,10.0,16.0,14.0,14.0,16.0,2.0,2.0
3461789,279,131,10.0,19.0,3.0,10.0,2.0,2.0,5.0,0.0,13.0,8.0,10.0,13.0,4.0,3.0
3292007,413,1090,12.0,11.0,6.0,9.0,1.0,2.0,2.0,12.0,10.0,24.0,26.0,10.0,2.0,3.0
3252542,7769,371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3252483,540,543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3252229,62,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3098801,853,150,0.0,4.0,1.0,6.0,4.0,0.0,0.0,11.0,4.0,14.0,10.0,3.0,4.0,1.0
3098772,496,1184,5.0,6.0,2.0,3.0,4.0,3.0,3.0,1.0,9.0,10.0,8.0,7.0,2.0,2.0
3098778,713,11107,3.0,1.0,5.0,2.0,1.0,1.0,5.0,4.0,14.0,18.0,17.0,12.0,1.0,2.0
3098751,195,409,5.0,8.0,0.0,4.0,4.0,3.0,5.0,6.0,13.0,6.0,6.0,10.0,0.0,3.0
3098748,419,365,7.0,1.0,6.0,4.0,0.0,5.0,4.0,3.0,21.0,15.0,13.0,18.0,2.0,3.0
3098714,365,419,4.0,5.0,2.0,4.0,3.0,3.0,2.0,7.0,13.0,18.0,15.0,9.0,3.0,4.0
4172094,10586,124,13.0,11.0,4.0,4.0,3.0,2.0,2.0,6.0,11.0,12.0,13.0,12.0,3.0,2.0
3912609,10625,683,9.0,6.0,7.0,3.0,2.0,0.0,6.0,0.0,9.0,15.0,15.0,9.0,2.0,0.0
3912557,2156,36,6.0,15.0,2.0,3.0,6.0,1.0,4.0,8.0,19.0,16.0,18.0,20.0,4.0,1.0
3683254,255,232,15.0,11.0,7.0,6.0,2.0,4.0,5.0,5.0,19.0,12.0,12.0,19.0,2.0,0.0
3496474,62,1003,14.0,8.0,8.0,5.0,1.0,3.0,8.0,3.0,10.0,12.0,14.0,10.0,1.0,1.0
3462376,208,12,8.0,17.0,3.0,2.0,4.0,0.0,2.0,10.0,10.0,11.0,13.0,12.0,0.0,1.0
2698112,31,3008,11.0,1.0,8.0,1.0,0.0,6.0,13.0,2.0,6.0,7.0,7.0,6.0,0.0,0.0
2698104,1010,985,5.0,2.0,4.0,8.0,1.0,2.0,5.0,7.0,20.0,13.0,13.0,20.0,0.0,0.0
2698090,289,29,4.0,9.0,1.0,7.0,6.0,4.0,5.0,5.0,9.0,11.0,11.0,8.0,0.0,1.0
2698088,379,1010,3.0,8.0,7.0,3.0,4.0,1.0,4.0,4.0,17.0,11.0,9.0,16.0,2.0,1.0
2698086,641,873,4.0,4.0,5.0,3.0,2.0,3.0,6.0,6.0,9.0,7.0,7.0,9.0,0.0,0.0
2697995,180,1010,6.0,1.0,6.0,5.0,0.0,5.0,6.0,2.0,10.0,11.0,9.0,10.0,2.0,0.0
3462366,687,6066,26.0,8.0,5.0,5.0,1.0,8.0,12.0,2.0,4.0,11.0,11.0,4.0,0.0,1.0
3462256,208,7769,13.0,10.0,4.0,3.0,1.0,4.0,7.0,5.0,11.0,14.0,15.0,12.0,0.0,2.0
3252547,31614,279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3252516,195,413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2698373,1003,989,5.0,4.0,8.0,2.0,3.0,4.0,9.0,1.0,12.0,16.0,11.0,11.0,5.0,1.0
2698366,2288,984,2.0,6.0,5.0,3.0,4.0,0.0,7.0,4.0,10.0,9.0,8.0,10.0,1.0,0.0
2698338,281,985,7.0,1.0,8.0,1.0,1.0,7.0,7.0,4.0,9.0,12.0,10.0,8.0,2.0,1.0
2698242,379,281,1.0,4.0,1.0,4.0,0.0,1.0,2.0,4.0,16.0,17.0,11.0,13.0,6.0,3.0
2698233,289,631,3.0,8.0,3.0,9.0,7.0,3.0,5.0,5.0,12.0,16.0,15.0,9.0,1.0,3.0
2698186,984,281,1.0,7.0,4.0,5.0,3.0,1.0,1.0,7.0,13.0,19.0,16.0,10.0,3.0,3.0
2698166,873,180,4.0,3.0,2.0,6.0,3.0,1.0,4.0,9.0,13.0,11.0,11.0,13.0,0.0,0.0
2698163,1003,641,3.0,2.0,6.0,3.0,0.0,1.0,2.0,3.0,12.0,18.0,16.0,11.0,2.0,1.0
2698138,281,631,5.0,4.0,6.0,5.0,1.0,4.0,9.0,2.0,10.0,15.0,14.0,10.0,1.0,0.0
2698119,289,984,2.0,6.0,3.0,6.0,5.0,1.0,6.0,5.0,12.0,11.0,9.0,11.0,2.0,1.0
2702814,244,1082,5.0,5.0,6.0,5.0,5.0,3.0,6.0,2.0,14.0,20.0,18.0,14.0,2.0,0.0
2702812,969,40,8.0,2.0,7.0,4.0,2.0,4.0,5.0,1.0,18.0,11.0,11.0,13.0,0.0,5.0
2702799,855,995,6.0,1.0,5.0,5.0,1.0,4.0,9.0,1.0,23.0,16.0,14.0,19.0,2.0,4.0
2702787,2969,162,2.0,4.0,2.0,3.0,3.0,1.0,6.0,4.0,15.0,12.0,8.0,12.0,4.0,3.0
2702779,1162,855,4.0,2.0,6.0,4.0,1.0,3.0,5.0,2.0,17.0,14.0,14.0,17.0,0.0,0.0
