game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
3009818,941,0,,Pavel Vrba,336,2,,Jorge Jesus,Away,0
3009825,244,2,,Rudi Garcia,621,1,,Cuco Ziganda,Away,1
3009828,5,1,,Gennaro Gattuso,11,3,,Arsène Wenger,Away,0
3047465,244,3,5.0,Rudi Garcia,162,2,13.0,Leonardo Jardim,Away,1
3047475,855,0,20.0,Antoine Kombouaré,244,4,2.0,Rudi Garcia,Away,0
3047478,273,1,9.0,Sabri Lamouchi,417,2,11.0,Patrick Vieira,Away,0
3047512,40,3,13.0,Eric Bedouet,855,1,20.0,Antoine Kombouaré,Away,1
3047513,995,1,18.0,Miguel Cardoso,1082,2,2.0,Christophe Galtier,Away,0
3047520,1416,1,19.0,Christophe Pélissier,667,3,9.0,Thierry Laurey,Away,0
3047524,1041,3,2.0,Bruno Génésio,2969,0,9.0,Olivier Dall'Oglio,Away,1
3047529,1421,1,14.0,David Guion,583,4,1.0,Thomas Tuchel,Away,0
3047530,618,3,6.0,Jean-Louis Gasset,415,2,7.0,Alain Casanova,Away,1
3047726,415,1,13.0,Alain Casanova,1160,0,10.0,Bernard Blaquart,Away,1
3047729,969,0,7.0,Michel Der Zakarian,273,0,9.0,Julien Stéphan,Away,0
3047735,1162,0,17.0,Fabien Mercadal,969,2,6.0,Michel Der Zakarian,Away,0
3047743,995,1,13.0,Vahid Halilhodzic,1162,0,17.0,Fabien Mercadal,Away,1
3047745,583,1,1.0,Thomas Tuchel,1041,2,3.0,Bruno Génésio,Away,0
3047746,415,1,15.0,Alain Casanova,162,2,18.0,Leonardo Jardim,Away,0
3047756,1041,0,3.0,Bruno Génésio,417,1,7.0,Patrick Vieira,Away,0
3047763,667,0,9.0,Thierry Laurey,1162,0,19.0,Fabien Mercadal,Away,0
3047768,2969,0,18.0,Antoine Kombouaré,1160,2,10.0,Bernard Blaquart,Away,0
